workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,min_selected,max_selected,ci95_selected,mean_fairness,min_fairness,max_fairness,ci95_fairness,mean_fraction_opt,min_fraction_opt,max_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,min_inverse_ratio,max_inverse_ratio,ci95_inverse_ratio,mean_delta,min_delta,max_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
LANL-CM5-1994,containment_quantile,9,offline_deterministic,Offline Deterministic,offline,1,49999.0,49999.0,49999.0,0.0,9.0046875,9.0046875,9.0046875,0.0,0.845577541011331,0.845577541011331,0.845577541011331,0.0,1.1826236524730496,1.1826236524730496,1.1826236524730496,0.0,239892.0,239892.0,239892.0,9.0,8.999699874947895,482.5446890774084,482.5446890774084
LANL-CM5-1994,containment_quantile,9,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,nan,nan,nan,nan,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,9.0,8.999699874947895,482.5446890774084,482.5446890774084
LANL-CM5-1994,containment_quantile,9,offline_randomized,Offline Randomized,offline,1,49903.972,24790.0,59130.0,0.0,9.364764656092445,1.2490609126024035,9.364764656092445,nan,0.8439704380179266,0.41924572974801283,1.0,0.0,1.184875624729831,1.0,2.3852359822509075,0.0,239892.0,239892.0,239892.0,9.0,8.999699874947895,482.5446890774084,482.5446890774084
LANL-CM5-1994,containment_quantile,9,online_randomized_fair,Online Randomized Fair Algorithm,online,1,586.056,0.0,3058.0,0.0,169.0502638156068,80.9107210780851,169.0502638156068,nan,0.009911314053779808,0.0,0.05171655673938779,0.0,100.89479503665179,nan,nan,0.0,239892.0,239892.0,239892.0,9.0,8.999699874947895,482.5446890774084,482.5446890774084
LANL-CM5-1994,containment_quantile,10,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,19.98510320737648,11.782719840861303,19.98510320737648,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,10.0,9.999624845248665,536.1607656415649,536.1607656415649
LANL-CM5-1994,containment_quantile,10,offline_deterministic,Offline Deterministic,offline,1,50433.0,50433.0,50433.0,0.0,10.004285714285714,10.004285714285714,10.004285714285714,0.0,0.8529173008625064,0.8529173008625064,0.8529173008625064,0.0,1.1724466123371602,1.1724466123371602,1.1724466123371602,0.0,239892.0,239892.0,239892.0,10.0,9.999624845248665,536.1607656415649,536.1607656415649
LANL-CM5-1994,containment_quantile,10,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,nan,nan,nan,nan,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,10.0,9.999624845248665,536.1607656415649,536.1607656415649
LANL-CM5-1994,containment_quantile,10,offline_randomized,Offline Randomized,offline,1,50459.415,25114.0,59130.0,0.0,10.526315789473683,1.2272404954602596,10.526315789473683,nan,0.8533640284119736,0.4247251818028074,1.0,0.0,1.1718328482405116,1.0,2.354463645775265,0.0,239892.0,239892.0,239892.0,10.0,9.999624845248665,536.1607656415649,536.1607656415649
LANL-CM5-1994,containment_quantile,10,online_randomized_fair,Online Randomized Fair Algorithm,online,1,517.233,0.0,2789.0,0.0,192.74237092479845,114.3584362231798,192.74237092479845,nan,0.008747387113140537,0.0,0.0471672585827837,0.0,114.31985198160211,nan,nan,0.0,239892.0,239892.0,239892.0,10.0,9.999624845248665,536.1607656415649,536.1607656415649
LANL-CM5-1994,exponential,2,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,14.763231653363093,13.396160273809532,14.763231653363093,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,exponential,2,offline_deterministic,Offline Deterministic,offline,1,56772.0,56772.0,56772.0,0.0,1.219170681194003,1.219170681194003,1.219170681194003,0.0,0.9601217656012176,0.9601217656012176,0.9601217656012176,0.0,1.0415345592897907,1.0415345592897907,1.0415345592897907,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,exponential,2,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,1.2221419867310557,1.2221419867310557,1.2221419867310557,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,exponential,2,offline_randomized,Offline Randomized,offline,1,56707.372,55861.0,57547.0,0.0,1.2351325914540447,1.1711617693607381,1.2351325914540447,nan,0.9590287840351767,0.9447150346693726,0.9732284796211736,0.0,1.0427215706628055,1.0275079500234592,1.0585202556345215,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,exponential,2,online_randomized_fair,Online Randomized Fair Algorithm,online,1,2682.999,5.0,8023.0,0.0,25.92817782714229,24.86064442266452,25.92817782714229,nan,0.04537458143074581,8.455944529003889e-05,0.13568408591239642,0.0,22.038770793429293,7.370061074411068,11826.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,exponential,3,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,16.918169590898266,13.965313297372106,16.918169590898266,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,exponential,3,offline_deterministic,Offline Deterministic,offline,1,55529.0,55529.0,55529.0,0.0,1.425664217071792,1.425664217071792,1.425664217071792,0.0,0.9391002875021139,0.9391002875021139,0.9391002875021139,0.0,1.0648489978209583,1.0648489978209583,1.0648489978209583,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,exponential,3,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,1.4041013268998794,1.4041013268998794,1.4041013268998794,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,exponential,3,offline_randomized,Offline Randomized,offline,1,55502.81,54111.0,56860.0,0.0,1.4332748606696195,1.2478928604732904,1.4332748606696195,nan,0.9386573651276848,0.915119228817859,0.9616100118383223,0.0,1.0653514659888392,1.039922616953922,1.0927537838886734,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,exponential,3,online_randomized_fair,Online Randomized Fair Algorithm,online,1,1864.058,2.0,6612.0,0.0,40.50740764965114,37.72171386443471,40.50740764965114,nan,0.03152474209369187,3.382377811601556e-05,0.11182141045154743,0.0,31.72111597385918,8.942831215970962,29565.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,exponential,4,crs,CRS,online,1,4875.165,10.0,12535.0,0.0,18.67124669000402,14.253571755093668,18.67124669000402,nan,0.0824482496194825,0.00016911889058007779,0.2119905293421275,0.0,12.128820255314436,4.717191862784205,5913.0,0.0,239892.0,239892.0,239892.0,4.0,3.9999499781154255,214.46430625662595,214.46430625662595
