workload,assignment_method,k,algorithm,algorithm_label,num_instances,mean_selected,mean_fairness,mean_fraction_opt,mean_inverse_ratio
LANL-CM5-1994,exponential,2,online_randomized,Online Randomized,5,2997.9,0.03597377583982652,0.05070015220700152,19.723833018131113
LANL-CM5-1994,exponential,2,simple_online_greedy,Simple Online Greedy,5,17653.0,0.24418460422046745,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,3,offline_deterministic,Offline Deterministic,5,55546.0,0.7103126832640139,0.9393877896161001,1.0645278896401957
LANL-CM5-1994,exponential,3,offline_greedy,Offline Greedy,5,59130.0,0.7154274963356518,1.0,1.0
LANL-CM5-1994,exponential,3,offline_randomized,Offline Randomized,5,55659.94,0.6772939211623922,0.9413147302553695,1.0623443357315001
LANL-CM5-1994,exponential,3,online_randomized,Online Randomized,5,2306.816,0.01961312130214308,0.03901261626923727,25.632770195128007
LANL-CM5-1994,exponential,3,simple_online_greedy,Simple Online Greedy,5,17653.0,0.21521970682173414,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,4,offline_deterministic,Offline Deterministic,5,54991.8,0.6378771072304196,0.9300152207001522,1.0752557938853484
LANL-CM5-1994,exponential,4,offline_greedy,Offline Greedy,5,59130.0,0.6494081924589992,1.0,1.0
LANL-CM5-1994,exponential,4,offline_randomized,Offline Randomized,5,54950.352,0.628261853136412,0.9293142567224759,1.0760627527228128
LANL-CM5-1994,exponential,4,online_randomized,Online Randomized,5,1652.8419999999999,0.015128815810723381,0.027952680534415693,35.77476810257969
LANL-CM5-1994,exponential,4,simple_online_greedy,Simple Online Greedy,5,17653.0,0.19349011871404626,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,5,offline_deterministic,Offline Deterministic,5,54696.0,0.5907232643231433,0.9250126839167935,1.081084867819141
LANL-CM5-1994,exponential,5,offline_greedy,Offline Greedy,5,59130.0,0.6002322384927116,1.0,1.0
LANL-CM5-1994,exponential,5,offline_randomized,Offline Randomized,5,54663.274,0.5832462474158641,0.9244592254354811,1.0817154031635245
LANL-CM5-1994,exponential,5,online_randomized,Online Randomized,5,1447.492,0.012833297099122976,0.024479824116353795,40.850115970150775
LANL-CM5-1994,exponential,5,simple_online_greedy,Simple Online Greedy,5,17653.0,0.1775040097680232,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,6,offline_deterministic,Offline Deterministic,5,54609.8,0.5535604118125512,0.9235548790799932,1.0827790670974682
LANL-CM5-1994,exponential,6,offline_greedy,Offline Greedy,5,59130.0,0.5622262673936274,1.0,1.0
LANL-CM5-1994,exponential,6,offline_randomized,Offline Randomized,5,54621.024,0.5105664144677912,0.9237446981227804,1.0825510365802822
LANL-CM5-1994,exponential,6,online_randomized,Online Randomized,5,1344.5900000000001,0.004270611406964273,0.02273955690850668,43.97648166718839
LANL-CM5-1994,exponential,6,simple_online_greedy,Simple Online Greedy,5,17653.0,0.1662024279110608,0.29854557754101135,3.3495723106554127
LANL-CM5-1994,exponential,7,offline_deterministic,Offline Deterministic,5,54807.8,0.5333015596491019,0.9269034331134788,1.0788715050433764
LANL-CM5-1994,exponential,7,offline_greedy,Offline Greedy,5,59130.0,0.5421847062179853,1.0,1.0
LANL-CM5-1994,exponential,7,offline_randomized,Offline Randomized,5,54695.392,0.5052644912086044,0.9250024014882463,1.0810793397162652
