workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,ci95_selected,mean_fairness,ci95_fairness,mean_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,ci95_inverse_ratio,mean_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
CTC-SP2-1996,uniform,9,offline_deterministic,Offline Deterministic,offline,5,19101.4,117.12386864601476,2.0881646831982965,0.014407277753408035,0.9137239894762019,0.005602672501603179,1.0944437790659263,0.006719927637632949,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,9,offline_greedy,Global OPT,offline,5,20905.0,0.0,1.9022421281247779,0.012085451360624387,1.0,0.0,1.0,0.0,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,9,offline_randomized,Offline Randomized,offline,5,18972.822,18.77778074772682,2.15658213664588,0.03706435393170548,0.9075734034919876,0.0008982435181883254,1.1018398117966555,0.0010901075303398286,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,9,online_randomized,Online Randomized,online,5,407.31600000000003,1.3355999645762942,239.13393851026467,4.349468005452332,0.019484142549629276,6.388902007062023e-05,51.32407426092822,0.16829029530506598,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,9,online_randomized_level_greedy,CRS,online,5,1993.8799999999999,1.9963159345140475e-13,19.938797388746238,0.12431341354694508,0.09537813920114804,1.2184545498742966e-17,10.484582823439727,9.863914503674896e-16,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,9,simple_online_greedy,Simple Online Greedy,online,5,2538.0,0.0,16.686437297906203,0.4331155689285135,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,9.0,8.99900008332639,72.61051144808495,8.067834605342773
CTC-SP2-1996,uniform,10,offline_deterministic,Offline Deterministic,offline,5,18966.6,104.88423327789359,2.159612860077388,0.008516287161637848,0.9072757713465678,0.005017184084089575,1.1022181437235472,0.006075347743994988,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
CTC-SP2-1996,uniform,10,offline_greedy,Global OPT,offline,5,20905.0,0.0,1.9795277969745686,0.014875305023487623,1.0,0.0,1.0,0.0,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
CTC-SP2-1996,uniform,10,offline_randomized,Offline Randomized,offline,5,18889.038,15.454269085781926,2.23844798914734,0.042304707835964045,0.9035655584788328,0.0007392618553351488,1.1067269419076609,0.0009054933220460033,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
CTC-SP2-1996,uniform,10,online_randomized,Online Randomized,online,5,391.798,1.3039659491333397,239.99357399852687,6.366609752713516,0.018741832097584312,6.237579283106153e-05,53.356883289650625,0.17758671024729508,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
CTC-SP2-1996,uniform,10,online_randomized_level_greedy,CRS,online,5,1993.88,1.2625810564703867e-13,20.518789206545815,0.2521967292365108,0.09537813920114806,7.706183205996013e-18,10.484582823439725,9.863914503674896e-16,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
CTC-SP2-1996,uniform,10,simple_online_greedy,Simple Online Greedy,online,5,2538.0,0.0,17.374529431944783,0.4705125785959879,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,10.0,9.998750121515963,80.67834605342773,8.067834605342773
LANL-CM5-1994,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,53467.0,0.0,1.9776888444222112,0.0,0.9042279722645019,0.0,1.1059157985299344,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,2,offline_greedy,Global OPT,offline,1,59130.0,0.0,3.261881188118812,0.0,1.0,0.0,1.0,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,51058.7,0.0,1.6372830394970617,0.0,0.8634990698461018,0.0,1.1580788386700014,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,2,online_randomized,Online Randomized,online,1,2949.4,0.0,26.32469859004792,0.0,0.04987992558768815,0.0,20.048145385502135,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,2,online_randomized_level_greedy,CRS,online,1,4803.0,0.0,17.029278150410075,0.0,0.08122780314561137,0.0,12.31105559025609,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,2,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,5.8792020279951505,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,2.0,1.9999916629497319,17.872025521385495,8.936012760692748
LANL-CM5-1994,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,50595.0,0.0,2.9928698752228162,0.0,0.8556570268899036,0.0,1.1686925585532166,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,3,offline_greedy,Global OPT,offline,1,59130.0,0.0,1007.4,0.0,1.0,0.0,1.0,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,50479.04,0.0,3.6999900834095443,0.0,0.8536959242347371,0.0,1.1713772686643802,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,3,online_randomized,Online Randomized,online,1,2011.69,0.0,43.50601242377614,0.0,0.03402147809910367,0.0,29.393196764909106,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,3,online_randomized_level_greedy,CRS,online,1,4803.0,0.0,17.014234016887816,0.0,0.08122780314561137,0.0,12.31105559025609,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,3,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,5.813056379821958,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,3.0,2.9999749889534546,26.808038282078243,8.936012760692748
LANL-CM5-1994,containment_quantile,4,offline_deterministic,Offline Deterministic,offline,1,50627.0,0.0,3.9988623435722412,0.0,0.8561982073397598,0.0,1.1679538586129932,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,4,offline_greedy,Global OPT,offline,1,59130.0,0.0,nan,nan,1.0,0.0,1.0,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,4,offline_randomized,Offline Randomized,offline,1,49420.84,0.0,4.3478260869565215,0.0,0.8357997632335531,0.0,1.196458821824963,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,4,online_randomized,Online Randomized,online,1,1526.65,0.0,66.04685889003449,0.0,0.025818535430407578,0.0,38.73186388497691,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,4,online_randomized_level_greedy,CRS,online,1,4802.999999999999,0.0,17.243932538050185,0.0,0.08122780314561134,0.0,12.311055590256093,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,4,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,5.880017263703064,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,4.0,3.9999499781154255,35.74405104277099,8.936012760692748
LANL-CM5-1994,containment_quantile,5,offline_deterministic,Offline Deterministic,offline,1,49419.0,0.0,5.0,0.0,0.8357686453576865,0.0,1.1965033691495175,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,5,offline_greedy,Global OPT,offline,1,59130.0,0.0,nan,nan,1.0,0.0,1.0,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,5,offline_randomized,Offline Randomized,offline,1,49097.03,0.0,5.263157894736842,0.0,0.8303235244376796,0.0,1.2043498354177433,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,5,online_randomized,Online Randomized,online,1,1226.1900000000003,0.0,96.18182639736116,0.0,0.020737189244038563,0.0,48.222542999045814,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,5,online_randomized_level_greedy,CRS,online,1,4803.0,0.0,18.051828061067358,0.0,0.08122780314561137,0.0,12.31105559025609,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,5,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,6.253231492361927,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,5.0,4.999916630539901,44.68006380346374,8.936012760692748
LANL-CM5-1994,containment_quantile,6,offline_deterministic,Offline Deterministic,offline,1,49339.0,0.0,6.0,0.0,0.8344156942330458,0.0,1.1984434220393603,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,6,offline_greedy,Global OPT,offline,1,59130.0,0.0,nan,nan,1.0,0.0,1.0,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,6,offline_randomized,Offline Randomized,offline,1,51482.47,0.0,11.11111111111111,0.0,0.8706658210722138,0.0,1.148546291582358,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,6,online_randomized,Online Randomized,online,1,1058.35,0.0,116.12903225806453,0.0,0.017898697784542533,0.0,55.86998629942836,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,6,online_randomized_level_greedy,CRS,online,1,4802.999999999999,0.0,19.856699907818655,0.0,0.08122780314561134,0.0,12.311055590256093,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,6,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,6.012637179913535,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,6.0,5.999874946331134,53.61607656415649,8.936012760692748
LANL-CM5-1994,containment_quantile,7,offline_deterministic,Offline Deterministic,offline,1,49426.0,0.0,7.005390835579515,0.0,0.8358870285810925,0.0,1.1963339133249706,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,7,offline_greedy,Global OPT,offline,1,59130.0,0.0,nan,nan,1.0,0.0,1.0,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,7,offline_randomized,Offline Randomized,offline,1,52020.04,0.0,12.5,0.0,0.879757145273127,0.0,1.1366773266610328,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,7,online_randomized,Online Randomized,online,1,896.39,0.0,1514.2857142857142,0.0,0.015159648232707594,0.0,65.96459130512389,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,7,online_randomized_level_greedy,CRS,online,1,4803.000000000001,0.0,20.89172315854345,0.0,0.08122780314561139,0.0,12.311055590256087,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,7,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,6.837229819144244,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,7.0,6.999824925593377,62.552089324849234,8.936012760692748
LANL-CM5-1994,containment_quantile,8,offline_deterministic,Offline Deterministic,offline,1,50540.0,0.0,8.00238663484487,0.0,0.8547268729917131,0.0,1.1699643846458252,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
LANL-CM5-1994,containment_quantile,8,offline_greedy,Global OPT,offline,1,59130.0,0.0,nan,nan,1.0,0.0,1.0,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
LANL-CM5-1994,containment_quantile,8,offline_randomized,Offline Randomized,offline,1,50589.54000000001,0.0,11.11111111111111,0.0,0.855564687975647,0.0,1.1688186925597661,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
LANL-CM5-1994,containment_quantile,8,online_randomized,Online Randomized,online,1,768.1799999999998,0.0,207.2338489535942,0.0,0.012991374936580414,0.0,76.97414668437087,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
LANL-CM5-1994,containment_quantile,8,online_randomized_level_greedy,CRS,online,1,4803.0,0.0,21.811680572109655,0.0,0.08122780314561137,0.0,12.31105559025609,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
LANL-CM5-1994,containment_quantile,8,simple_online_greedy,Simple Online Greedy,online,1,17653.0,0.0,6.168886774500476,0.0,0.29854557754101135,0.0,3.3495723106554127,0.0,239892.0,8.0,7.999766568430881,71.48810208554198,8.936012760692748
