input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,fairness,fraction_opt,inverse_ratio,delta,num_levels
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,online_randomized_level_greedy,randomized,100,1993.8799999999999,18.64889059402775,0.09537813920114804,10.484582823439727,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,1.0,9,offline_deterministic,deterministic,1,15225,9.053191489361701,0.7282946663477637,1.373070607553366,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,offline_randomized,randomized,100,15333.57,12.5,0.7334881607270988,1.363348522229331,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,simple_online_greedy,deterministic,1,2538,18.513353115727003,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,online_randomized,randomized,100,310.33,216.29887727448704,0.01484477397751734,67.36377404698224,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,online_randomized_level_greedy,randomized,100,1993.8799999999999,19.71393620024466,0.09537813920114804,10.484582823439727,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,offline_greedy,deterministic,1,20905,3.5037593984962405,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,1.0,10,offline_deterministic,deterministic,1,18917,3.3768115942028984,0.9049031332217173,1.1050906591954326,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,offline_randomized,randomized,100,18947.019999999997,3.335719398711525,0.9063391533126045,1.1033397336362132,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,simple_online_greedy,deterministic,1,2538,22.833333333333332,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,online_randomized,randomized,100,389.60999999999996,256.7260940032415,0.018637168141592917,53.656220322886995,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,online_randomized_level_greedy,randomized,100,1993.8800000000003,33.702337023370234,0.09537813920114807,10.484582823439723,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,,,offline_greedy,deterministic,1,20905,3.4,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,1.0,10,offline_deterministic,deterministic,1,19063,3.2771084337349397,0.9118871083472854,1.0966269737187222,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,,,offline_randomized,randomized,100,18917.91,3.1820308844174074,0.904946663477637,1.1050375014999014,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,,,simple_online_greedy,deterministic,1,2538,30.22222222222222,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,,,online_randomized,randomized,100,389.69,272.18430034129693,0.018640994977278162,53.645205163078344,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed43.csv,10,,,online_randomized_level_greedy,randomized,100,1993.8800000000003,36.46112600536193,0.09537813920114807,10.484582823439723,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,,,offline_greedy,deterministic,1,20905,3.2344827586206897,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,1.0,10,offline_deterministic,deterministic,1,18984,3.0707964601769913,0.9081081081081082,1.1011904761904763,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,,,offline_randomized,randomized,100,18919.870000000003,3.1682767006687835,0.9050404209519255,1.1049230253696245,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,,,simple_online_greedy,deterministic,1,2538,36.375,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,,,online_randomized,randomized,100,389.11,264.2504118616145,0.018613250418560153,53.72516769037033,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed44.csv,10,,,online_randomized_level_greedy,randomized,100,1993.8800000000003,33.525345622119815,0.09537813920114807,10.484582823439723,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,,,offline_greedy,deterministic,1,20905,3.688311688311688,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,1.0,10,offline_deterministic,deterministic,1,19033,3.4216867469879517,0.9104520449653193,1.0983554878369148,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,,,offline_randomized,randomized,100,18989.589999999997,3.290845886442642,0.9083755082516143,1.1008663167556543,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,,,simple_online_greedy,deterministic,1,2538,64.42857142857143,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,,,online_randomized,randomized,100,388.73999999999995,268.0412371134021,0.018595551303515902,53.7763029274065,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed45.csv,10,,,online_randomized_level_greedy,randomized,100,1993.88,36.45699614890886,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,,,offline_greedy,deterministic,1,20905,3.2735849056603774,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,1.0,10,offline_deterministic,deterministic,1,19253,2.9789473684210526,0.9209758430997369,1.085804809640056,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,,,offline_randomized,randomized,100,18993.750000000004,3.040395358831113,0.9085745037072472,1.1006252056597563,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,,,simple_online_greedy,deterministic,1,2538,35.916666666666664,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,,,online_randomized,randomized,100,388.73,252.33785822021116,0.018595072949055252,53.77768631183598,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed46.csv,10,,,online_randomized_level_greedy,randomized,100,1993.88,35.270049099836335,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,,,offline_greedy,deterministic,1,20905,1.3683669536168572,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,1.0,2,offline_deterministic,deterministic,1,20143,1.3474190283400809,0.9635493900980626,1.037829518939582,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,,,offline_randomized,randomized,100,20144.0,1.3962177575300712,0.9635972255441282,1.0377779984114377,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,,,simple_online_greedy,deterministic,1,2538,11.414790996784566,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,,,online_randomized,randomized,100,1346.95,25.640408320493066,0.06443195407797178,15.520249452466684,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed42.csv,2,,,online_randomized_level_greedy,randomized,100,1993.88,14.350585476938003,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,,,offline_greedy,deterministic,1,20905,1.363496539348885,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,1.0,2,offline_deterministic,deterministic,1,20128,1.3522308376763696,0.9628318584070796,1.0386029411764706,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,,,offline_randomized,randomized,100,20105.55,1.4004831522061099,0.9617579526429083,1.0397626526008987,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,,,simple_online_greedy,deterministic,1,2538,11.139267015706807,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,,,online_randomized,randomized,100,1346.81,25.5536872447754,0.0644252571155226,15.52186277203169,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_2groups_seed43.csv,2,,,online_randomized_level_greedy,randomized,100,1993.8799999999999,14.239820094771506,0.09537813920114804,10.484582823439727,71998.0,17
